0104 00639 1|T|080.21165269|+02.94456738|       |       | 39.4| 26.4|     |     | |11.063|0.071|10.713|0.077|607|T|       
0104 01120 1|T|079.11081971|+01.94090278|       |       | 39.6| 29.6|     |     | |11.383|0.103|10.624|0.080|999|T|       
0104 01331 1|T|079.13858520|+01.89783269|       |       | 35.9| 35.7|     |     | |11.405|0.098|10.901|0.105|999|T|       
0105 00144 1|T|081.08916044|+01.98588211|       |       | 29.2| 22.4|     |     | |10.694|0.110|10.800|0.218|999|T|       
0105 00197 1|T|081.09360499|+02.02852122|       |       | 51.5| 37.5|     |     | |11.322|0.155|10.622|0.139|999|T|       
0105 00774 1|T|082.41254773|+03.11320122|       |       | 44.1| 31.3|     |     | |11.997|0.172|11.198|0.135|999|T|       
0105 00964 1|T|081.66574946|+02.94798689|       |       | 38.6| 31.2|     |     | |11.483|0.178|10.909|0.152|999|T|       
0105 01212 1|H|080.65604220|+02.60325444|   96.4| -175.8| 21.8| 16.8| 16.7| 13.8|H|      |     |10.774|0.060| 10|T| 25119B
0105 01334 1|T|081.11203930|+02.36093790|       |       | 36.4| 23.7|     |     | |11.115|0.077|10.634|0.074|999|T|       
0105 01965 1|T|082.39330923|+03.14194218|       |       | 28.6| 17.9|     |     | | 9.465|0.043| 9.144|0.048|252|T|       
0105 02149 1|T|080.83307089|+03.21617267|       |       | 55.5| 36.4|     |     | |11.612|0.127|11.175|0.142|480|T|       
0105 02455 1|T|082.06216698|+03.46484405|       |       | 68.8| 39.6|     |     | |11.955|0.156|11.058|0.110|999|T|       
0105 02801 2|H|081.70883533|+03.09636088|    0.3|   -1.1| 28.7| 16.4|  0.9|  0.4|H|      |     | 8.619|0.091| 29| | 25473B
0107 01070 1|T|078.64768137|+05.13361564|       |       | 16.3| 14.9|     |     | |10.350|0.050| 9.099|0.028|999|T|       
0107 01424 1|T|078.47190660|+05.54782278|       |       |122.8| 74.4|     |     | |12.534|0.426|11.636|0.286| 35|T|       
